年	州	州略号	州FIPSコード	州CENコード	州ICコード	役職	候補者	政党	主要政党	書き込み投票	候補者得票数	総投票数	バージョン
2004	マサチューセッツ	MA	25	14	3	アメリカ合衆国大統領	ラルフ・ネーダー	無所属	その他	TRUE	4806	2927455	20171015
2008	マサチューセッツ	MA	25	14	3	アメリカ合衆国大統領	ラルフ・ネーダー	無所属	その他	FALSE	28841	3102995	20171015
2008	マサチューセッツ	MA	25	14	3	アメリカ合衆国大統領	白票/分散票		その他	FALSE	22010	3102995	20171015
2008	マサチューセッツ	MA	25	14	3	アメリカ合衆国大統領	その他		その他	FALSE	14483	3102995	20171015
2008	マサチューセッツ	MA	25	14	3	アメリカ合衆国大統領	ボブ・バー	リバタリアン党	その他	FALSE	13189	3102995	20171015
2008	マサチューセッツ	MA	25	14	3	アメリカ合衆国大統領	シンシア・マッキニー	緑の党	その他	FALSE	6550	3102995	20171015
2008	マサチューセッツ	MA	25	14	3	アメリカ合衆国大統領	チャールズ・“チャック”・ボールドウィン	憲法党	その他	FALSE	4971	3102995	20171015
2012	マサチューセッツ	MA	25	14	3	アメリカ合衆国大統領	ゲイリー・ジョンソン	リバタリアン党	その他	FALSE	30920	3184196	20171015
2012	マサチューセッツ	MA	25	14	3	アメリカ合衆国大統領	ジル・スタイン	緑・レインボー党	その他	FALSE	20691	3184196	20171015
2012	マサチューセッツ	MA	25	14	3	アメリカ合衆国大統領	白票/分散票		その他	FALSE	16429	3184196	20171015
2012	マサチューセッツ	MA	25	14	3	アメリカ合衆国大統領	その他		その他	FALSE	6552	3184196	20171015
2016	マサチューセッツ	MA	25	14	3	アメリカ合衆国大統領	ゲイリー・ジョンソン	リバタリアン党	その他	FALSE	138018	3378821	20171015
2016	マサチューセッツ	MA	25	14	3	アメリカ合衆国大統領	白票		その他	FALSE	53775	3378821	20171015
2016	マサチューセッツ	MA	25	14	3	アメリカ合衆国大統領	その他		その他	FALSE	50488	3378821	20171015
2016	マサチューセッツ	MA	25	14	3	アメリカ合衆国大統領	ジル・スタイン	緑の党	その他	FALSE	47661	3378821	20171015
2016	マサチューセッツ	MA	25	14	3	アメリカ合衆国大統領			その他	TRUE	2790	3378821	20171015
1976	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ジミー・カーター	民主党	民主党	FALSE	1696714	3651590	20171015
1980	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ジミー・カーター	民主党	民主党	FALSE	1661532	3909725	20171015
1984	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ウォルター・モンデール	民主党	民主党	FALSE	1529638	3801658	20171015
1988	ミシガン	MI	26	34	23	アメリカ合衆国大統領	マイケル・デュカキス	民主党	民主党	FALSE	1675783	3669163	20171015
1992	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ビル・クリントン	民主党	民主党	FALSE	1871182	4274673	20171015
1996	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ビル・クリントン	民主党	民主党	FALSE	1989653	3848844	20171015
2000	ミシガン	MI	26	34	23	アメリカ合衆国大統領	アル・ゴア	民主党	民主党	FALSE	2170418	4232501	20171015
2004	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ジョン・ケリー	民主党	民主党	FALSE	2479183	4839252	20171015
2008	ミシガン	MI	26	34	23	アメリカ合衆国大統領	バラク・H・オバマ	民主党	民主党	FALSE	2872579	5001596	20171015
2012	ミシガン	MI	26	34	23	アメリカ合衆国大統領	バラク・H・オバマ	民主党	民主党	FALSE	2564569	4730961	20171015
2016	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ヒラリー・クリントン	民主党	民主党	FALSE	2268839	4799284	20171015
1976	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ジェラルド・フォード	共和党	共和党	FALSE	1893742	3651590	20171015
1980	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ロナルド・レーガン	共和党	共和党	FALSE	1915225	3909725	20171015
1984	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ロナルド・レーガン	共和党	共和党	FALSE	2251571	3801658	20171015
1988	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ジョージ・H・W・ブッシュ	共和党	共和党	FALSE	1965486	3669163	20171015
1992	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ジョージ・H・W・ブッシュ	共和党	共和党	FALSE	1554940	4274673	20171015
1996	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ロバート・ドール	共和党	共和党	FALSE	1481212	3848844	20171015
2000	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ジョージ・W・ブッシュ	共和党	共和党	FALSE	1953139	4232501	20171015
2004	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ジョージ・W・ブッシュ	共和党	共和党	FALSE	2313746	4839252	20171015
2008	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ジョン・マケイン	共和党	共和党	FALSE	2048639	5001596	20171015
2012	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ミット・ロムニー	共和党	共和党	FALSE	2115256	4730961	20171015
2016	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ドナルド・J・トランプ	共和党	共和党	FALSE	2279543	4799284	20171015
1976	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ユージン・“ジーン”・マッカーシー	無所属	その他	FALSE	47905	3651590	20171015
1976	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ロジャー・マクブライド	リバタリアン党	その他	FALSE	5407	3651590	20171015
1976	ミシガン	MI	26	34	23	アメリカ合衆国大統領	マーガレット・ライト	人権党	その他	FALSE	3504	3651590	20171015
1976	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ピーター・カメホ	社会主義労働者党	その他	FALSE	1804	3651590	20171015
1976	ミシガン	MI	26	34	23	アメリカ合衆国大統領	リンドン・ラルーシュ・Jr	米国労働党	その他	FALSE	1366	3651590	20171015
1976	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ジュールス・レビン	社会主義労働党	その他	FALSE	1148	3651590	20171015
1980	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ジョン・B・アンダーソン	無所属	その他	FALSE	275223	3909725	20171015
1980	ミシガン	MI	26	34	23	アメリカ合衆国大統領	エドワード・“エド”・クラーク	リバタリアン党	その他	FALSE	41597	3909725	20171015
1980	ミシガン	MI	26	34	23	アメリカ合衆国大統領	バリー・コモナー	市民党	その他	FALSE	11930	3909725	20171015
1980	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ガス・ホール	共産党	その他	FALSE	3262	3909725	20171015
1980	ミシガン	MI	26	34	23	アメリカ合衆国大統領			その他	TRUE	956	3909725	20171015
1984	ミシガン	MI	26	34	23	アメリカ合衆国大統領	デイヴィッド・バーグランド	リバタリアン党	その他	FALSE	10055	3801658	20171015
1984	ミシガン	MI	26	34	23	アメリカ合衆国大統領	リンドン・ラルーシュ・Jr	無所属	その他	FALSE	3862	3801658	20171015
1984	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ラリー・ホームズ	労働者世界党	その他	FALSE	1416	3801658	20171015
1984	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ソニア・ジョンソン	市民党	その他	FALSE	1191	3801658	20171015
1984	ミシガン	MI	26	34	23	アメリカ合衆国大統領	メルヴィン・メイソン	社会主義労働者党	その他	FALSE	1049	3801658	20171015
1984	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ガス・ホール	共産党	その他	FALSE	1048	3801658	20171015
1984	ミシガン	MI	26	34	23	アメリカ合衆国大統領	デニス・セレット	アライアンス党	その他	FALSE	665	3801658	20171015
1984	ミシガン	MI	26	34	23	アメリカ合衆国大統領	その他		その他	FALSE	602	3801658	20171015
1984	ミシガン	MI	26	34	23	アメリカ合衆国大統領	エドワード・ウィン	労働者同盟	その他	FALSE	561	3801658	20171015
1988	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ロナルド・“ロン”・ポール	リバタリアン党	その他	FALSE	18336	3669163	20171015
1988	ミシガン	MI	26	34	23	アメリカ合衆国大統領		その他	その他	FALSE	7600	3669163	20171015
1988	ミシガン	MI	26	34	23	アメリカ合衆国大統領	エドワード・ウィン	労働者同盟	その他	FALSE	1958	3669163	20171015
1992	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ロス・ペロー	無所属	その他	FALSE	824813	4274673	20171015
1992	ミシガン	MI	26	34	23	アメリカ合衆国大統領	アンドレ・マルー	リバタリアン党	その他	FALSE	10175	4274673	20171015
1992	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ハワード・フィリップス	ティッシュ独立市民党	その他	FALSE	8263	4274673	20171015
1992	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ジョン・ハゲリン	自然法党	その他	FALSE	2954	4274673	20171015
1992	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ヘレン・ハリヤード	労働者世界党	その他	FALSE	1432	4274673	20171015
1992	ミシガン	MI	26	34	23	アメリカ合衆国大統領			その他	TRUE	914	4274673	20171015
1996	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ロス・ペロー	改革党	その他	FALSE	336670	3848844	20171015
1996	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ハリー・ブラウン	リバタリアン党	その他	FALSE	27670	3848844	20171015
1996	ミシガン	MI	26	34	23	アメリカ合衆国大統領			その他	TRUE	4678	3848844	20171015
1996	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ジョン・ハゲリン	自然法党	その他	FALSE	4254	3848844	20171015
1996	ミシガン	MI	26	34	23	アメリカ合衆国大統領	モニカ・ムーアヘッド	労働者世界党	その他	FALSE	3153	3848844	20171015
1996	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ジェローム・“ジェリー”・ホワイト	社会主義平等党	その他	FALSE	1554	3848844	20171015
2000	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ラルフ・ネーダー	緑の党	その他	FALSE	84165	4232501	20171015
2000	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ハリー・ブラウン	リバタリアン党	その他	FALSE	16711	4232501	20171015
2000	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ハワード・フィリップス	米国納税者党	その他	FALSE	3791	4232501	20171015
2000	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ジョン・ハゲリン	自然法党	その他	FALSE	2426	4232501	20171015
2000	ミシガン	MI	26	34	23	アメリカ合衆国大統領			その他	TRUE	1851	4232501	20171015
2004	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ラルフ・ネーダー	無所属	その他	FALSE	24035	4839252	20171015
2004	ミシガン	MI	26	34	23	アメリカ合衆国大統領	マイケル・バドナリック	リバタリアン党	その他	FALSE	10552	4839252	20171015
2004	ミシガン	MI	26	34	23	アメリカ合衆国大統領	デイヴィッド・コブ	緑の党	その他	FALSE	5325	4839252	20171015
2004	ミシガン	MI	26	34	23	アメリカ合衆国大統領	マイケル・ペルートカ	米国納税者党	その他	FALSE	4980	4839252	20171015
2004	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ウォルト・ブラウン	自然法党	その他	FALSE	1431	4839252	20171015
2008	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ラルフ・ネーダー	自然法党	その他	FALSE	33085	5001596	20171015
2008	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ボブ・バー	リバタリアン党	その他	FALSE	23716	5001596	20171015
2008	ミシガン	MI	26	34	23	アメリカ合衆国大統領	チャールズ・“チャック”・ボールドウィン	米国納税者党	その他	FALSE	14685	5001596	20171015
2008	ミシガン	MI	26	34	23	アメリカ合衆国大統領	シンシア・マッキニー	緑の党	その他	FALSE	8892	5001596	20171015
2012	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ジル・スタイン	緑の党	その他	FALSE	21897	4730961	20171015
2012	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ヴァージル・ハムリン・グッド・Jr	米国納税者党	その他	FALSE	16119	4730961	20171015
2012	ミシガン	MI	26	34	23	アメリカ合衆国大統領			その他	TRUE	7973	4730961	20171015
2012	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ロス・カール・“ロッキー”・アンダーソン	自然法党	その他	FALSE	5147	4730961	20171015
2016	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ゲイリー・ジョンソン	リバタリアン党	その他	FALSE	172136	4799284	20171015
2016	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ジル・スタイン	緑の党	その他	FALSE	51463	4799284	20171015
2016	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ダレル・L・キャッスル	米国納税者党	その他	FALSE	16139	4799284	20171015
2016	ミシガン	MI	26	34	23	アメリカ合衆国大統領			その他	TRUE	8955	4799284	20171015
2016	ミシガン	MI	26	34	23	アメリカ合衆国大統領	ミミ・ソルティシク	自然法党	その他	FALSE	2209	4799284	20171015
1976	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジミー・カーター	民主党	民主党	FALSE	1070440	1949931	20171015
1980	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジミー・カーター	民主党	民主党	FALSE	954173	2051916	20171015
1984	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ウォルター・モンデール	民主党	民主党	FALSE	1036364	2084449	20171015
1988	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	マイケル・デュカキス	民主党	民主党	FALSE	1109471	2096790	20171015
1992	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ビル・クリントン	民主党	民主党	FALSE	1020997	2347948	20171015
1996	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ビル・クリントン	民主党	民主党	FALSE	1120380	2192492	20171015
2008	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	バラク・H・オバマ	民主党	民主党	FALSE	1573354	2910369	20171015
2016	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ヒラリー・クリントン	民主党	民主党	FALSE	1367705	2944782	20171015
1976	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジェラルド・フォード	共和党	共和党	FALSE	819395	1949931	20171015
1980	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ロナルド・レーガン	共和党	共和党	FALSE	873268	2051916	20171015
1984	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ロナルド・レーガン	共和党	共和党	FALSE	1032603	2084449	20171015
1988	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジョージ・H・W・ブッシュ	共和党	共和党	FALSE	962337	2096790	20171015
1992	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジョージ・H・W・ブッシュ	共和党	共和党	FALSE	747841	2347948	20171015
1996	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ロバート・ドール	共和党	共和党	FALSE	766395	2192492	20171015
2000	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジョージ・W・ブッシュ	共和党	共和党	FALSE	1109659	2438685	20171015
2004	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジョージ・W・ブッシュ	共和党	共和党	FALSE	1346695	2828387	20171015
2008	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジョン・マケイン	共和党	共和党	FALSE	1275409	2910369	20171015
2012	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ミット・ロムニー	共和党	共和党	FALSE	1320225	2936561	20171015
2016	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ドナルド・J・トランプ	共和党	共和党	FALSE	1322949	2944782	20171015
1976	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ユージン・“ジーン”・マッカーシー	マッカーシー'76	その他	FALSE	35490	1949931	20171015
1976	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	トーマス・J・アンダーソン	アメリカ党	その他	FALSE	13592	1949931	20171015
1976	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ピーター・カメホ	社会主義労働者党	その他	FALSE	4149	1949931	20171015
1976	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ロジャー・マクブライド	リバタリアン党	その他	FALSE	3529	1949931	20171015
1976	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ガス・ホール	共産党	その他	FALSE	1092	1949931	20171015
1976	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	マーガレット・ライト	人民党	その他	FALSE	635	1949931	20171015
1976	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	リンドン・ラルーシュ・Jr	国際開発銀行党	その他	FALSE	543	1949931	20171015
1976	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジュールス・レビン	産業政府党	その他	FALSE	370	1949931	20171015
1976	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	フランク・ザイドラー	社会党	その他	FALSE	354	1949931	20171015
1976	ミネソタ	MN	27	41	33	アメリカ合衆国大統領			その他	TRUE	342	1949931	20171015
1980	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジョン・B・アンダーソン	無所属	その他	FALSE	174997	2051916	20171015
1980	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	エドワード・“エド”・クラーク	リバタリアン党	その他	FALSE	31593	2051916	20171015
1980	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	バリー・コモナー	市民党	その他	FALSE	8406	2051916	20171015
1980	ミネソタ	MN	27	41	33	アメリカ合衆国大統領		アメリカ党	その他	FALSE	6136	2051916	20171015
1980	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ガス・ホール	共産党	その他	FALSE	1117	2051916	20171015
1980	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	クリフトン・デベリー	社会主義労働者党	その他	FALSE	711	2051916	20171015
1980	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ディアドラ・グリスウォルド	労働者世界党	その他	FALSE	698	2051916	20171015
1980	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	デイヴィッド・マクレイノルズ	社会党	その他	FALSE	536	2051916	20171015
1980	ミネソタ	MN	27	41	33	アメリカ合衆国大統領			その他	TRUE	281	2051916	20171015
1984	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	リンドン・ラルーシュ・Jr	無所属	その他	FALSE	3865	2084449	20171015
1984	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	メルヴィン・メイソン	社会主義労働者党	その他	FALSE	3180	2084449	20171015
1984	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	デイヴィッド・バーグランド	リバタリアン党	その他	FALSE	2996	2084449	20171015
1984	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ボブ・リチャーズ	ポピュリスト党	その他	FALSE	2377	2084449	20171015
1984	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ソニア・ジョンソン	市民党	その他	FALSE	1219	2084449	20171015
1984	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	その他		その他	FALSE	723	2084449	20171015
1984	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ガス・ホール	共産党	その他	FALSE	630	2084449	20171015
1984	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	エドワード・ウィン	労働者同盟	その他	FALSE	260	2084449	20171015
1984	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	デニス・セレット	アライアンス党	その他	FALSE	232	2084449	20171015
1988	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ユージン・“ジーン”・マッカーシー	進歩党	その他	FALSE	5403	2096790	20171015
1988	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ロナルド・“ロン”・ポール	リバタリアン党	その他	FALSE	5109	2096790	20171015
1988	ミネソタ	MN	27	41	33	アメリカ合衆国大統領			その他	TRUE	3614	2096790	20171015
1988	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジェームズ・“マック”・ウォーレン	社会主義労働者党	その他	FALSE	2155	2096790	20171015
1988	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジャック・ヘラー	草の根党	その他	FALSE	1949	2096790	20171015
1988	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	レノーラ・フラーニ	新連合党	その他	FALSE	1734	2096790	20171015
1988	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	リンドン・ラルーシュ・Jr	国民経済再建党	その他	FALSE	1702	2096790	20171015
1988	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	デイヴィッド・デューク	ポピュリスト党	その他	FALSE	1529	2096790	20171015
1988	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	デルマー・デニス	アメリカ党	その他	FALSE	1298	2096790	20171015
1988	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	エドワード・ウィン	労働者同盟	その他	FALSE	489	2096790	20171015
1992	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ロス・ペロー	無所属	その他	FALSE	562506	2347948	20171015
1992	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	アンドレ・マルー	リバタリアン党	その他	FALSE	3374	2347948	20171015
1992	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジェームズ・“ボー”・グリッツ	憲法党	その他	FALSE	3363	2347948	20171015
1992	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジャック・ヘラー	草の根党	その他	FALSE	2659	2347948	20171015
1992	ミネソタ	MN	27	41	33	アメリカ合衆国大統領			その他	TRUE	2499	2347948	20171015
1992	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジョン・ハゲリン	自然法党	その他	FALSE	1406	2347948	20171015
1992	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジェームズ・“マック”・ウォーレン	社会主義労働者党	その他	FALSE	990	2347948	20171015
1992	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	レノーラ・フラーニ	新連合党	その他	FALSE	958	2347948	20171015
1992	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ハワード・フィリップス	納税者党	その他	FALSE	733	2347948	20171015
1992	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	リンドン・ラルーシュ・Jr	経済再建無所属連合	その他	FALSE	622	2347948	20171015
1996	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ロス・ペロー	改革党	その他	FALSE	257698	2192492	20171015
1996	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ラルフ・ネーダー	緑の党	その他	FALSE	24906	2192492	20171015
1996	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ハリー・ブラウン	リバタリアン党	その他	FALSE	8271	2192492	20171015
1996	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	デニス・ペロン	草の根党	その他	FALSE	4898	2192492	20171015
1996	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ハワード・フィリップス	米国納税者党	その他	FALSE	3415	2192492	20171015
1996	ミネソタ	MN	27	41	33	アメリカ合衆国大統領			その他	TRUE	2903	2192492	20171015
1996	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジョン・ハゲリン	自然法党	その他	FALSE	1808	2192492	20171015
1996	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジョン・ビレンバック	独立草の根党	その他	FALSE	787	2192492	20171015
1996	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジェームズ・ハリス	社会主義労働者党	その他	FALSE	684	2192492	20171015
1996	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジェローム・“ジェリー”・ホワイト	社会主義平等党	その他	FALSE	347	2192492	20171015
2000	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	アル・ゴア	民主農民労働党	その他	FALSE	1168266	2438685	20171015
2000	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ラルフ・ネーダー	緑の党	その他	FALSE	126696	2438685	20171015
2000	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	パトリック・“パット”・ブキャナン	ミネソタ改革党	その他	FALSE	22166	2438685	20171015
2000	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ハリー・ブラウン	リバタリアン党	その他	FALSE	5282	2438685	20171015
2000	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ハワード・フィリップス	憲法党	その他	FALSE	3272	2438685	20171015
2000	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	パトリック・“パット”・ブキャナン	改革党	その他	FALSE	2294	2438685	20171015
2000	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジェームズ・ハリス	社会主義労働者党	その他	FALSE	1022	2438685	20171015
2000	ミネソタ	MN	27	41	33	アメリカ合衆国大統領			その他	TRUE	28	2438685	20171015
2004	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジョン・ケリー	民主農民労働党	その他	FALSE	1445014	2828387	20171015
2004	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ラルフ・ネーダー	ベターライフ党	その他	FALSE	18683	2828387	20171015
2004	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	マイケル・バドナリック	リバタリアン党	その他	FALSE	4639	2828387	20171015
2004	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	デイヴィッド・コブ	緑の党	その他	FALSE	4408	2828387	20171015
2004	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	マイケル・ペルートカ	憲法党	その他	FALSE	3074	2828387	20171015
2004	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	その他		その他	TRUE	2532	2828387	20171015
2004	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	トーマス・ハレンス	キリスト教自由党	その他	FALSE	2387	2828387	20171015
2004	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ビル・ヴァン・オーケン	社会主義平等党	その他	FALSE	539	2828387	20171015
2004	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ロジャー・カレロ	社会主義労働者党	その他	FALSE	416	2828387	20171015
2008	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ラルフ・ネーダー	無所属	その他	FALSE	30152	2910369	20171015
2008	ミネソタ	MN	27	41	33	アメリカ合衆国大統領			その他	TRUE	9529	2910369	20171015
2008	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ボブ・バー	リバタリアン党	その他	FALSE	9174	2910369	20171015
2008	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	チャールズ・“チャック”・ボールドウィン	憲法党	その他	FALSE	6787	2910369	20171015
2008	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	シンシア・マッキニー	緑の党	その他	FALSE	5174	2910369	20171015
2008	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ロジャー・カレロ	社会主義労働者党	その他	FALSE	790	2910369	20171015
2012	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	バラク・H・オバマ	民主農民労働党	その他	FALSE	1546167	2936561	20171015
2012	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ゲイリー・ジョンソン	リバタリアン党	その他	FALSE	35098	2936561	20171015
2012	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジル・スタイン	緑の党	その他	FALSE	13023	2936561	20171015
2012	ミネソタ	MN	27	41	33	アメリカ合衆国大統領			その他	TRUE	10641	2936561	20171015
2012	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ヴァージル・ハムリン・グッド・Jr	憲法党	その他	FALSE	3722	2936561	20171015
2012	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジム・カールソン	草の根党	その他	FALSE	3149	2936561	20171015
2012	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ロス・カール・“ロッキー”・アンダーソン	正義党	その他	FALSE	1996	2936561	20171015
2012	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ディーン・モースタッド	立憲政府党	その他	FALSE	1092	2936561	20171015
2012	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ジェームズ・ハリス	社会主義労働者党	その他	FALSE	1051	2936561	20171015
2012	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ペタ・リンゼイ	社会主義解放党	その他	FALSE	397	2936561	20171015
2016	ミネソタ	MN	27	41	33	アメリカ合衆国大統領	ゲイリー・ジョンソン	リバタリアン党	その他	FALSE	112972	2944782	20171015
